aX,aY,aZ,gX,gY,gZ
-0.168,-0.018,0.938,4.395,-2.930,1.526
-0.166,-0.020,1.001,2.502,-6.714,1.587
-0.162,-0.014,1.059,-1.343,-9.094,1.709
-0.161,-0.010,1.097,-3.479,-8.850,1.282
-0.158,-0.016,1.114,-2.808,-7.324,0.488
-0.150,-0.011,1.111,-2.625,-4.639,0.061
-0.147,-0.028,1.092,-1.465,-1.770,-0.671
-0.146,-0.031,1.055,0.488,1.648,-0.732
-0.148,-0.030,1.010,1.892,4.456,0.061
-0.152,-0.030,0.989,4.700,4.761,0.732
-0.158,-0.023,0.945,5.493,3.967,1.282
-0.164,-0.021,0.961,3.052,0.366,1.587
-0.166,-0.006,0.977,-1.160,-3.479,2.380
-0.161,-0.002,1.010,-4.517,-5.615,1.831
-0.152,-0.014,1.049,-5.859,-6.653,0.610
-0.145,-0.009,1.075,-4.578,-5.188,0.061
-0.144,-0.012,1.081,-1.160,-3.662,-0.793
-0.147,-0.005,1.077,2.686,-1.404,-1.465
-0.154,-0.011,1.064,4.761,0.671,-1.770
-0.145,-0.020,1.037,4.395,2.319,-1.892
-0.149,-0.024,1.028,3.418,2.319,-1.648
-0.153,-0.013,1.011,3.357,2.258,-1.160
-0.149,-0.016,0.992,2.380,1.465,-1.221
-0.143,-0.021,0.999,0.793,-0.061,-1.282
-0.141,-0.031,0.992,1.282,-0.488,-1.282
-0.149,-0.014,0.992,2.502,-0.977,-0.549
-0.151,-0.009,1.009,4.272,-2.136,-0.122
-0.145,-0.020,1.017,4.822,-2.625,-0.305
-0.139,-0.023,1.038,3.845,-3.174,-0.671
-0.139,-0.027,1.056,2.563,-3.235,-0.916
-0.135,-0.030,1.048,3.052,-1.831,-0.793
-0.139,-0.031,1.049,3.540,-0.671,-0.549
-0.144,-0.023,1.054,3.662,0.061,0.061
-0.153,-0.008,1.032,4.822,1.099,0.061
-0.147,-0.033,1.003,4.944,1.282,-0.854
-0.144,-0.031,1.000,3.357,0.793,-0.732
-0.152,-0.024,0.999,3.113,-0.244,-0.305
-0.153,-0.025,0.991,3.540,-0.854,-0.549
-0.151,-0.026,1.007,2.869,-1.831,-0.305
-0.151,-0.023,1.034,3.235,-3.052,0.061
-0.154,-0.013,1.054,4.089,-3.357,0.366
-0.151,-0.017,1.078,3.479,-3.418,0.061
-0.148,-0.025,1.072,2.747,-2.197,-0.183
-0.159,-0.017,1.065,1.953,-1.160,-0.366
-0.163,-0.011,1.037,0.610,0.000,-0.122
-0.153,-0.034,1.033,1.160,0.122,-0.732
-0.152,-0.034,1.003,2.808,0.732,-0.549
-0.154,-0.028,0.998,4.028,0.977,-0.244
-0.156,-0.032,1.013,5.188,-0.305,-0.916
-0.154,-0.038,1.007,4.211,-1.038,-0.854
-0.153,-0.029,1.030,2.625,-2.136,-0.366
-0.151,-0.027,1.041,2.380,-2.686,-0.610
-0.158,-0.025,1.046,2.686,-2.625,-0.793
-0.157,-0.027,1.047,2.197,-2.258,-0.916
-0.153,-0.028,1.061,2.563,-1.770,-0.916
-0.153,-0.029,1.051,3.906,-0.732,-1.099
-0.154,-0.030,1.043,4.761,0.610,-1.282
-0.154,-0.026,1.029,4.395,1.038,-1.282
-0.154,-0.022,1.021,3.906,1.343,-1.404
-0.154,-0.029,1.012,3.906,1.343,-1.709
-0.146,-0.029,0.993,2.258,1.343,-1.648
-0.143,-0.032,0.990,1.648,0.305,-1.587
-0.142,-0.033,0.995,1.465,-0.427,-1.526
-0.143,-0.036,0.999,1.770,-1.221,-1.465
-0.145,-0.037,1.010,1.648,-2.014,-1.282
-0.148,-0.020,1.023,0.305,-2.686,-0.916
-0.153,-0.020,1.051,-0.244,-3.418,-0.977
-0.148,-0.024,1.055,-0.061,-3.052,-1.587
-0.145,-0.027,1.067,0.061,-2.075,-1.892
-0.141,-0.032,1.041,1.221,-0.305,-2.075
-0.138,-0.034,1.014,1.770,1.038,-2.014
-0.142,-0.044,1.005,3.174,1.160,-2.075
-0.147,-0.043,0.982,4.700,1.221,-1.709
-0.139,-0.042,0.976,5.737,-0.122,-1.038
-0.143,-0.051,1.002,6.287,-2.747,-0.732
-0.147,-0.036,1.009,5.737,-3.601,0.183
-0.154,-0.021,1.041,5.554,-4.089,0.610
-0.156,-0.021,1.058,4.333,-4.150,0.183
-0.149,-0.020,1.070,2.502,-3.601,-0.183
-0.152,-0.024,1.062,1.648,-2.319,-0.671
-0.145,-0.037,1.042,1.953,-0.549,-1.343
-0.146,-0.032,1.022,2.380,0.427,-1.587

-0.398,-0.090,2.296,-50.110,-261.292,65.002
-0.285,0.205,2.828,-87.769,-235.962,77.087
-0.216,0.330,3.018,-95.825,-176.392,61.707
-0.174,0.274,2.880,-51.270,-101.990,36.621
-0.175,0.089,2.447,-13.000,-29.419,15.869
-0.208,0.034,2.036,-5.737,28.320,9.521
-0.228,0.059,1.636,11.169,71.167,6.836
-0.300,0.057,1.154,39.612,102.234,-1.038
-0.360,0.021,0.762,54.077,111.023,-8.057
-0.345,-0.008,0.519,51.453,96.741,-10.437
-0.314,-0.045,0.426,38.147,68.542,-8.423
-0.286,-0.074,0.420,18.066,36.377,-4.456
-0.274,-0.054,0.517,-0.061,4.578,0.977
-0.263,-0.015,0.725,-13.184,-23.682,5.310
-0.255,0.019,0.964,-16.968,-43.152,5.676
-0.233,0.007,1.152,-12.817,-51.636,3.723
-0.218,0.027,1.313,-11.414,-50.171,1.953
-0.200,0.024,1.441,-12.146,-41.260,-1.160
-0.172,0.004,1.512,-11.841,-25.635,-4.211
-0.156,-0.021,1.504,-10.010,-5.310,-6.348
-0.160,-0.020,1.401,-5.188,14.832,-7.935
-0.174,-0.043,1.221,-0.793,31.067,-10.010
-0.174,-0.060,1.051,-0.671,39.429,-11.230
-0.171,-0.068,0.915,-0.916,40.161,-11.169
-0.161,-0.094,0.819,0.549,35.828,-11.414
-0.151,-0.095,0.751,1.465,28.259,-9.033
-0.149,-0.088,0.735,0.305,17.334,-6.592
-0.149,-0.084,0.749,0.122,5.676,-5.310
-0.148,-0.066,0.825,-1.892,-4.456,-3.235
-0.150,-0.047,0.963,-1.953,-12.451,-0.793
-0.147,-0.050,1.043,0.000,-14.526,0.305
-0.157,-0.031,1.107,1.038,-12.878,1.709
-0.167,-0.020,1.150,1.831,-9.644,2.319
-0.165,-0.017,1.157,3.418,-4.639,2.258
-0.166,-0.024,1.130,3.906,0.977,1.648
