aX,aY,aZ,gX,gY,gZ
-0.249,-0.339,0.975,12.085,-13.367,5.554
-0.243,-0.342,1.000,16.968,-11.902,7.751
-0.246,-0.325,1.023,18.921,-9.094,10.803
-0.240,-0.280,1.003,17.212,-3.723,13.733
-0.226,-0.254,0.965,13.672,1.709,14.343
-0.223,-0.254,0.904,8.789,5.493,13.062
-0.224,-0.232,0.823,6.287,5.615,10.132
-0.213,-0.198,0.832,5.066,1.038,6.592
-0.227,-0.247,0.883,4.578,-4.639,0.916
-0.233,-0.276,0.884,2.747,-6.042,-3.052
-0.228,-0.307,0.885,-0.671,-5.737,-4.028
-0.229,-0.371,0.919,-3.723,-5.859,-4.211
-0.233,-0.391,0.934,-5.615,-5.188,-1.465
-0.231,-0.366,0.946,-3.357,-4.639,2.991
-0.234,-0.339,0.954,0.549,-4.517,5.859
-0.245,-0.327,0.942,2.869,-4.089,6.897
-0.255,-0.313,0.932,5.432,-4.150,7.446
-0.266,-0.314,0.947,6.165,-4.944,7.019
-0.270,-0.297,0.945,5.615,-5.432,6.104
-0.270,-0.271,0.951,3.845,-5.188,5.676
-0.276,-0.288,0.942,2.869,-4.761,4.517
-0.274,-0.288,0.924,1.648,-4.639,3.662
-0.266,-0.281,0.913,1.404,-4.700,2.625
-0.273,-0.285,0.949,1.282,-5.981,0.916
-0.288,-0.301,0.976,1.343,-6.775,-0.305
-0.294,-0.310,0.973,0.305,-5.676,-0.793
-0.298,-0.314,0.984,-1.892,-4.761,-1.099
-0.296,-0.326,1.017,-4.272,-4.517,-1.282
-0.285,-0.319,0.996,-6.226,-1.831,-0.366
-0.273,-0.300,0.971,-6.775,1.038,0.122
-0.274,-0.309,0.962,-5.249,1.221,-0.488
-0.274,-0.297,0.945,-3.357,0.793,-0.854
-0.279,-0.280,0.964,-2.930,-0.854,-1.465
-0.279,-0.276,0.983,-2.686,-1.892,-2.930
-0.272,-0.296,0.977,-3.723,-0.488,-4.639
-0.256,-0.327,0.963,-6.836,1.282,-5.798
-0.244,-0.352,0.957,-8.789,2.075,-5.310
-0.234,-0.358,0.955,-7.446,1.404,-4.028
-0.234,-0.350,0.951,-5.371,0.793,-2.197
-0.240,-0.338,0.950,-4.395,-0.183,-1.038
-0.250,-0.320,0.972,-3.113,-1.587,0.183
-0.257,-0.318,0.984,-1.831,-1.831,-0.061
-0.262,-0.309,0.964,-2.075,-0.488,0.122
-0.258,-0.289,0.944,-1.648,0.305,0.122
-0.253,-0.286,0.949,0.000,-0.916,0.000
-0.247,-0.288,0.936,0.427,-0.793,-0.732
-0.245,-0.295,0.931,0.549,-0.732,-1.282

-0.766,-1.643,0.531,-12.146,-101.563,177.551
-0.738,-1.330,0.861,57.983,-155.884,259.705
-0.727,-0.933,1.144,109.070,-189.575,321.655
-0.736,-0.703,1.489,121.521,-194.397,354.309
-0.736,-0.546,1.880,101.196,-169.922,372.314
-0.757,-0.467,2.105,67.261,-125.183,381.470
-0.809,-0.385,2.065,35.767,-72.388,380.249
-0.871,-0.261,2.022,10.071,-26.917,369.995
-0.935,-0.181,2.031,-2.380,8.789,349.609
-0.961,-0.253,1.829,-21.606,51.941,318.970
-0.928,-0.270,1.467,-47.668,94.788,290.344
-0.801,-0.104,1.245,-62.378,116.516,269.531
-0.672,0.135,1.105,-64.697,122.681,246.643
-0.578,0.250,0.916,-65.430,126.282,213.989
-0.476,0.226,0.707,-76.965,127.319,175.842
-0.309,0.126,0.879,-85.632,115.967,141.602
-0.208,0.139,0.985,-89.355,110.901,112.000
-0.132,0.282,1.088,-92.712,114.197,82.581
-0.089,0.337,1.421,-92.834,112.122,47.058
-0.011,0.460,1.739,-95.154,122.803,10.132
-0.091,0.392,1.787,-91.125,151.733,-31.372
-0.073,0.385,1.608,-84.106,194.153,-73.547
-0.085,0.507,1.525,-28.748,212.769,-102.417
-0.167,0.826,1.536,-11.719,227.661,-131.165
-0.336,0.673,1.271,-1.770,260.376,-185.181
-0.390,0.340,0.807,5.066,296.387,-238.525
-0.532,0.292,0.436,-16.968,314.819,-273.315
-0.474,0.196,0.059,-70.862,309.448,-304.321
-0.275,-0.037,-0.249,-114.685,277.405,-331.665
-0.148,-0.253,-0.428,-129.456,229.614,-340.942
-0.032,-0.534,-0.508,-120.911,174.194,-331.909
0.155,-0.530,-0.491,-89.172,114.868,-301.331
0.315,-0.257,-0.429,-37.048,55.664,-257.751
0.371,0.024,-0.430,21.118,7.812,-224.426
0.373,0.117,-0.464,47.241,-28.076,-218.689
0.378,-0.019,-0.498,47.974,-62.012,-239.929
