aX,aY,aZ,gX,gY,gZ
-0.035,-0.382,0.984,2.014,-1.160,-0.122
-0.036,-0.360,0.970,1.892,-0.366,0.244

-0.369,1.605,1.148,18.372,88.623,-256.592
-0.460,0.968,1.045,-21.912,98.572,-361.511
-0.635,0.442,0.860,-80.933,84.473,-427.673
-0.591,-0.085,1.022,-96.985,50.598,-458.618
-0.480,-0.746,1.075,-71.045,12.512,-460.937
-0.468,-1.112,1.053,-50.659,1.953,-439.331
-0.354,-1.347,1.188,-25.513,-8.057,-411.316
-0.286,-1.456,1.227,6.165,-8.789,-367.981
-0.169,-1.512,0.929,31.250,15.381,-308.655
-0.055,-1.306,0.784,13.306,30.945,-235.779
0.028,-0.980,0.774,4.822,25.085,-165.710
0.082,-0.863,0.867,7.629,12.695,-119.873
0.083,-0.833,0.984,-4.089,7.019,-89.966
0.076,-0.757,1.001,-14.893,8.301,-57.678
0.089,-0.813,1.056,-20.264,8.301,-31.250
0.077,-0.763,1.056,-19.775,7.812,-3.540
0.078,-0.744,1.022,-13.794,8.484,26.855
0.043,-0.849,1.004,-21.362,13.550,55.481
0.009,-0.983,0.938,-32.104,20.630,89.905
-0.017,-0.923,0.845,-34.241,24.109,133.118
-0.090,-0.724,0.787,-30.579,19.104,176.453
-0.198,-0.618,0.918,-35.950,9.033,203.796
-0.346,-0.667,1.048,-40.222,-0.061,219.849
-0.478,-0.617,1.125,-37.048,-2.869,241.699
-0.577,-0.595,1.175,-38.879,-1.038,266.785
-0.628,-0.547,1.216,-35.828,1.953,292.786
-0.638,-0.349,1.122,-12.939,-1.587,318.054
-0.524,0.047,0.977,14.221,-12.390,333.557
-0.347,0.430,0.962,25.574,-23.560,328.796
-0.123,0.858,1.087,17.090,-34.546,304.016
0.013,0.830,1.094,7.996,-33.691,259.338
0.115,0.488,0.966,7.935,-24.841,204.529
0.149,0.454,0.884,11.169,-20.874,171.082
0.109,0.473,0.984,19.043,-26.306,150.513
0.089,0.312,0.995,24.170,-27.344,128.662
0.083,0.220,1.025,25.757,-24.231,110.840
0.060,0.265,1.034,33.875,-23.071,101.074
0.047,0.199,1.075,34.729,-21.790,88.135
0.068,0.137,1.080,30.212,-19.287,73.853
0.053,0.137,1.116,27.405,-18.250,63.721
0.026,-0.003,1.099,24.231,-15.747,51.880
0.052,-0.002,1.068,23.682,-12.390,45.593
0.075,0.047,1.121,23.071,-11.841,42.847
0.069,0.051,1.087,20.630,-8.118,36.011
0.058,0.008,1.048,16.602,-3.967,28.687
0.054,-0.003,0.993,10.742,-2.014,23.010
0.052,-0.015,0.961,7.202,-2.808,18.127
0.035,-0.002,0.984,5.981,-5.188,13.367
0.017,-0.076,0.969,7.507,-4.700,8.667
0.027,-0.152,0.992,8.118,-4.700,5.676
0.026,-0.164,1.017,6.714,-5.066,6.836
0.020,-0.126,1.037,5.432,-4.639,8.789
0.008,-0.077,1.034,5.554,-4.150,9.644
-0.005,-0.079,1.026,6.409,-3.540,7.935
-0.007,-0.127,1.026,6.226,-3.845,4.456
-0.006,-0.119,1.087,6.653,-5.005,2.808
-0.014,-0.132,1.062,8.667,-4.150,1.221
0.005,-0.184,1.018,8.545,-1.831,-1.160
0.031,-0.165,1.018,5.981,-2.930,-0.488
0.034,-0.120,1.019,5.432,-3.601,0.244
0.037,-0.121,1.019,6.653,-3.479,-0.977
0.039,-0.162,1.028,5.493,-3.357,-2.747
0.044,-0.140,1.037,4.456,-2.808,-2.930
0.040,-0.114,1.013,5.432,-1.282,-2.869
0.035,-0.165,0.984,4.822,-0.305,-4.272
0.033,-0.173,1.011,4.272,-1.404,-4.272
0.021,-0.134,1.049,4.456,-2.136,-3.174
0.011,-0.146,1.052,4.089,-0.671,-3.296
0.011,-0.145,1.038,3.113,1.953,-3.540
0.010,-0.114,1.029,3.052,3.052,-3.723
0.013,-0.137,1.002,4.089,3.723,-5.371
0.016,-0.123,1.004,4.456,3.113,-6.042
0.017,-0.103,1.025,4.333,1.587,-6.409
0.017,-0.099,1.027,5.066,2.136,-8.301
0.018,-0.096,1.040,5.798,2.625,-9.949
0.019,-0.129,1.020,5.798,4.150,-11.353
0.047,-0.198,1.001,4.211,5.493,-12.146
0.064,-0.185,1.018,1.831,4.150,-8.789
0.066,-0.136,1.042,0.610,2.625,-5.737
0.061,-0.122,1.036,0.122,2.380,-4.272
0.053,-0.134,1.035,-0.854,2.319,-3.479
0.048,-0.097,1.042,-0.793,1.648,-2.197
0.046,-0.067,1.040,-0.122,1.648,-1.465
0.046,-0.101,1.011,0.854,2.380,-2.869
0.051,-0.144,1.000,1.404,2.014,-3.662
0.054,-0.106,1.021,1.953,-0.061,-1.648
0.042,-0.100,1.039,1.831,-1.160,-0.427
0.033,-0.110,1.045,1.404,-0.610,-0.793
0.029,-0.124,1.040,0.366,0.366,-0.854
0.028,-0.127,1.026,0.488,1.404,-0.122
0.028,-0.105,1.016,0.122,1.709,1.038
0.033,-0.101,1.004,0.916,1.892,0.793
0.041,-0.145,0.998,1.160,1.282,-0.122
0.057,-0.128,1.006,0.122,0.305,1.465
0.061,-0.120,1.009,0.366,-0.427,2.441
0.058,-0.101,1.029,1.099,-1.160,3.052
0.056,-0.098,1.040,1.770,-1.770,2.625
0.054,-0.115,1.057,2.075,-1.770,1.953
0.052,-0.120,1.049,2.441,-0.305,1.587
0.059,-0.110,1.046,2.014,0.610,1.465
0.061,-0.125,1.040,0.977,0.732,0.549
0.057,-0.146,1.036,0.427,0.854,-0.122
0.057,-0.147,1.042,0.000,0.488,1.099
0.059,-0.125,1.041,0.244,0.183,2.075
0.051,-0.131,1.051,-0.244,-0.305,2.319
0.048,-0.148,1.038,-1.221,0.488,1.587
0.046,-0.140,1.026,-1.526,0.854,2.136
0.046,-0.117,1.015,-0.549,0.793,2.808
0.048,-0.097,1.001,-0.061,0.977,2.747
0.050,-0.112,1.001,1.160,0.183,1.343
0.048,-0.134,1.000,1.160,-0.366,0.732
0.051,-0.132,1.000,1.465,-0.488,0.916
0.054,-0.110,1.002,2.014,-1.282,2.014
0.051,-0.117,1.001,2.930,-1.953,1.465
0.048,-0.117,1.026,3.052,-3.418,1.099
0.050,-0.121,1.036,3.235,-3.540,0.793
0.048,-0.109,1.040,3.479,-3.296,0.549
0.043,-0.095,1.045,3.479,-3.052,0.732
0.040,-0.105,1.029,4.517,-2.197,-0.488

